taxon_name	log2fc_WS_over_NS	corrected_p
Streptococcus agalactiae	3.44957683184035	0.0140792575409589
Streptococcus oralis	3.31743653954793	0.0140792575409589
Streptococcus parasanguinis	2.81132785388247	0.0186007435222595
Streptococcaceae	1.64493709112461	0.0140792575409589
Streptococcus	1.63512079010537	0.0140792575409589
Lactobacillales	1.20111135813547	0.0186007435222595
Bacilli	1.11725072917839	0.0186007435222595
Firmicutes	0.788701866560842	0.0186007435222595
Bacteroidetes	-2.43843292244383	0.0186007435222595
Enterobacteriaceae	-2.88299980810211	0.0186007435222595
Enterobacterales	-3.18187848352008	0.0186007435222595
Proteobacteria	-3.32962104785669	0.0140792575409589
Betaproteobacteria	-3.40934540726381	0.034661169458355
Gammaproteobacteria	-3.44987224355085	0.0140792575409589
Haemophilus parainfluenzae	-3.60190049778759	0.0321784715657774
Pasteurellaceae	-3.69264941628467	0.0226084276874808
Haemophilus	-3.84852114362434	0.0226084276874808
Fusobacterium periodonticum	-4.56197238402572	0.0206733025780959
Neisseriaceae	-4.70000129872607	0.0186007435222595
Fusobacteriales	-5.0841866408552	0.0140792575409589
Fusobacterium	-5.12065087482802	0.0140792575409589
